Library,Title,Date,Time,Location,Age Group,Program Type,Description,Link
Chicago Parks,Cocoa with Santa at Adams,"Wednesday, December 10, 2025",Not found,"1919 N. Seminary Ave. Chicago, IL 60614",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cocoa-santa-adams
Chicago Parks,Community Bonfire at Cornell,"Wednesday, December 10, 2025",Not found,"5473 S. Cornell Ave. Chicago, IL 60615",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-bonfire-cornell
Chicago Parks,Holiday Art Craft at Mayfair,"Wednesday, December 10, 2025",Not found,"4550 W. Sunnyside Ave. Chicago, IL 60630",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/holiday-art-craft-mayfair
Chicago Parks,Santa’s Family Workshop at Horner,"Wednesday, December 10, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",Kids/Family,Recreation,Not found,https://www.chicagoparkdistrict.com/events/santas-family-workshop-horner
Chicago Parks,Santa's Senior Event at Revere,"Thursday, December 11, 2025",Not found,"2509 W. Irving Park Rd. Chicago, IL 60618",Adults,Recreation,Not found,https://www.chicagoparkdistrict.com/events/santas-senior-event-revere
Chicago Parks,Senior Holiday Party at Hamilton,"Thursday, December 11, 2025",Not found,"513 W. 72nd St. Chicago, IL 60621",Adults,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/senior-holiday-party-hamilton
Chicago Parks,Senior Winter Wonderland at Shedd,"Thursday, December 11, 2025",Not found,"3660 W. 23rd St. Chicago, IL 60623",Adults,Recreation,Not found,https://www.chicagoparkdistrict.com/events/senior-winter-wonderland-shedd
Chicago Parks,Ravinia Winter Recital at Douglass,"Thursday, December 11, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/ravinia-winter-recital-douglass
Chicago Parks,Teen Night Out at the Park at Harrison,"Thursday, December 11, 2025",Not found,"1824 S. Wood St. Chicago, IL 60608",Teens,Recreation,Not found,https://www.chicagoparkdistrict.com/events/teen-night-out-park-harrison
Chicago Parks,Community Bonfire at Wentworth,"Thursday, December 11, 2025",Not found,"5625 S. Mobile Ave. Chicago, IL 60638",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-bonfire-wentworth
Chicago Parks,Dance - Nutcracker Storybook Adventure at Morgan Park SC,"Thursday, December 11, 2025",Not found,"11505 S. Western Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/dance-nutcracker-storybook-adventure-morgan-park-sc
Chicago Parks,Meet and Greet with Santa at Kedvale,"Friday, December 12, 2025",Not found,"4134 W. Hirsch St. Chicago, IL 60651",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/meet-and-greet-santa-kedvale
Chicago Parks,Cookies and Canes with Santa at Graver,"Friday, December 12, 2025",Not found,"1518 W. 102nd Pl. Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cookies-and-canes-santa-graver-0
Chicago Parks,Cookies and Canes with Santa at Graver,"Friday, December 12, 2025",Not found,"1518 W. 102nd Pl. Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cookies-and-canes-santa-graver
Chicago Parks,Family Night Out Partnership at Independence,"Friday, December 12, 2025",Not found,"3945 N. Springfield Ave. Chicago, IL 60618",Kids/Family,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/family-night-out-partnership-independence
Chicago Parks,Teen Holiday Party (Deaf & HOH) at Horner,"Friday, December 12, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",Teens,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/teen-holiday-party-deaf-hoh-horner
Chicago Parks,A Visit with Santa at Gladstone,"Friday, December 12, 2025",Not found,"5421 N. Menard Ave. Chicago, IL 60630",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/visit-santa-gladstone
Chicago Parks,Dinner with Santa at Sauganash,"Friday, December 12, 2025",Not found,"5861 N. Kostner Ave. Chicago, IL 60646",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/dinner-santa-sauganash
Chicago Parks,Oh Deer! Santa is Here at Hamlin,"Friday, December 12, 2025",Not found,"3035 N. Hoyne Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/oh-deer-santa-here-hamlin
Chicago Parks,Winter Wonderfest at Dvorak,"Friday, December 12, 2025",Not found,"1119 W. Cullerton St. Chicago, IL 60608",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonderfest-dvorak
Chicago Parks,ASI SOMOS: A Digital Photo Exhibit at Humboldt,"Friday, December 12, 2025",Not found,"1440 N. Humboldt Boulevard Chicago, IL 60622",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/asi-somos-digital-photo-exhibit-humboldt
Chicago Parks,Drop and Shop at Norwood,"Friday, December 12, 2025",Not found,"5801 N. Natoma Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/drop-and-shop-norwood
Chicago Parks,Musical Medley at Austin Town Hall,"Friday, December 12, 2025",Not found,"5610 W. Lake St. Chicago, IL 60644",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/musical-medley-austin-town-hall
Chicago Parks,Senior Citizen Disco Dance at Hale,"Friday, December 12, 2025",Not found,"6258 W. 62nd St. Chicago, IL 60638",Adults,Recreation,Not found,https://www.chicagoparkdistrict.com/events/senior-citizen-disco-dance-hale
Chicago Parks,Ravinia Winter Recital at Douglass,"Saturday, December 13, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/ravinia-winter-recital-douglass-0
Chicago Parks,Santa's Secret Workshop at Horner,"Saturday, December 13, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/santas-secret-workshop-horner-0
Chicago Parks,Santa's Secret Workshop at Horner,"Saturday, December 13, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/santas-secret-workshop-horner
Chicago Parks,Cocoa with Santa at Brands,"Saturday, December 13, 2025",Not found,"3285 N. Elston Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cocoa-santa-brands
Chicago Parks,"Cookies, Cocoa, and Crafts at Rutherford Sayre","Saturday, December 13, 2025",Not found,"6871 W. Belden Ave. Chicago, IL 60707",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/cookies-cocoa-and-crafts-rutherford-sayre
Chicago Parks,Swim with Santa's Helpers at Welles,"Saturday, December 13, 2025",Not found,"2333 W. Sunnyside Ave. Chicago, IL 60625",All Ages,Sports/Fitness,Not found,https://www.chicagoparkdistrict.com/events/swim-santas-helpers-welles
Chicago Parks,"Cocoa, Cookies, & Carols at Berger","Saturday, December 13, 2025",Not found,"6205 N. Sheridan Rd. Chicago, IL 60660",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cocoa-cookies-carols-berger
Chicago Parks,Holiday Joy at Shedd,"Saturday, December 13, 2025",Not found,"3660 W. 23rd St. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-joy-shedd
Chicago Parks,Holiday Skate with Santa at Midway Plaisance,"Saturday, December 13, 2025",Not found,"1130 Midway Plaisance North Chicago, IL 60637",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-skate-santa-midway-plaisance-0
Chicago Parks,Musical Medley at Austin Town Hall,"Saturday, December 13, 2025",Not found,"5610 W. Lake St. Chicago, IL 60644",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/musical-medley-austin-town-hall-0
Chicago Parks,Holiday Toy & Book Giveaway at Franklin,"Saturday, December 13, 2025",Not found,"4320 W. 15th St. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-toy-book-giveaway-franklin
Chicago Parks,Winter Solstice Festival at NPV,"Saturday, December 13, 2025",Not found,"5801 N. Pulaski Rd. Chicago, IL 60646",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-solstice-festival-npv
Chicago Parks,City-Wide Symphony Orchestra Holiday Concert at Jefferson,"Saturday, December 13, 2025",Not found,Chicago Park District,All Ages,Recreation,"Copernicus Center, 5216 W. Lawrence Ave, Chicago IL 60630",https://www.chicagoparkdistrict.com/events/city-wide-symphony-orchestra-holiday-concert-jefferson
Chicago Parks,Holiday Skate with Santa at Mt. Greenwood,"Sunday, December 14, 2025",Not found,"3721 W. 111th St. Chicago, IL 60655",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-skate-santa-mt-greenwood
Chicago Parks,Winter Solstice Meditation at Morgan Park SC,"Sunday, December 14, 2025",Not found,"11505 S. Western Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-solstice-meditation-morgan-park-sc
Chicago Parks,Do-It-Yourself Nutcracker at River,"Sunday, December 14, 2025",Not found,"5100 N. Francisco Ave. Chicago, IL 60611",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/do-it-yourself-nutcracker-river
Chicago Parks,Veterans Boccia Clinic and Tournament at McKinley,"Monday, December 15, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/veterans-boccia-clinic-and-tournament-mckinley
Chicago Parks,Monday Night Solo Series at Berger,"Monday, December 15, 2025",Not found,"6205 N. Sheridan Rd. Chicago, IL 60660",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/monday-night-solo-series-berger-9
Chicago Parks,Pilates in PJs at Rainey,"Monday, December 15, 2025",Not found,"4350 W. 79th St. Chicago, IL 60652",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/pilates-pjs-rainey
Chicago Parks,Veterans Pickleball Tournament at Ellis,"Tuesday, December 16, 2025",Not found,"3520 S. Cottage Grove Ave. Chicago, IL 60653",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/veterans-pickleball-tournament-ellis
Chicago Parks,Tween Tuesday at Durkin,"Tuesday, December 16, 2025",Not found,"8445 S. Kolin Ave. Chicago, IL 60652",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tween-tuesday-durkin
Chicago Parks,A Huntrix Holiday at Pasteur,"Tuesday, December 16, 2025",Not found,"5825 S. Kostner Ave Chicago, IL 60629",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/huntrix-holiday-pasteur
Chicago Parks,Community Bonfire at Warren,"Tuesday, December 16, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-bonfire-warren
Chicago Parks,Owl Prowl at NPV,"Tuesday, December 16, 2025",Not found,"5801 N. Pulaski Rd. Chicago, IL 60646",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/owl-prowl-npv-0
Chicago Parks,Community Meeting: Steelworkers Framework at Russell Square,"Tuesday, December 16, 2025",Not found,"3045 E. 83rd St. Chicago, IL 60617",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-meeting-steelworkers-framework-russell-square
Chicago Parks,Holiday Hit & Fit at Park No. 571,"Wednesday, December 17, 2025",Not found,"2828 S. Eleanor St. Chicago, IL 60608",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-hit-fit-park-no-571
Chicago Parks,3-on-3 Basketball Tournament at Bessemer,"Wednesday, December 17, 2025",Not found,"8930 S. Muskegon Ave. Chicago, IL 60617",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/3-3-basketball-tournament-bessemer
Chicago Parks,A Huntrix Holiday at Pasteur,"Wednesday, December 17, 2025",Not found,"5825 S. Kostner Ave Chicago, IL 60629",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/huntrix-holiday-pasteur-0
Chicago Parks,Community Bonfire at McKinley,"Wednesday, December 17, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-bonfire-mckinley
Chicago Parks,Cookies with Santa at Calumet,"Wednesday, December 17, 2025",Not found,"9801 S. Avenue G Chicago, IL 60617",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cookies-santa-calumet
Chicago Parks,Holiday Hustle at Park No. 571,"Thursday, December 18, 2025",Not found,"2828 S. Eleanor St. Chicago, IL 60608",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-hustle-park-no-571
Chicago Parks,Tot Toy Give-Away at Simons,"Thursday, December 18, 2025",Not found,"1640 N. Drake Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tot-toy-give-away-simons
Chicago Parks,"Cocoa, Cookies & Crafts at Chicago Women's","Thursday, December 18, 2025",Not found,"1801 S. Indiana Ave. Chicago, IL 60616",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/cocoa-cookies-crafts-chicago-womens
Chicago Parks,Community Bonfire at Mt. Greenwood,"Thursday, December 18, 2025",Not found,"3721 W. 111th St. Chicago, IL 60655",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/community-bonfire-mt-greenwood
Chicago Parks,Winter Art Workshop at Morgan Park SC,"Thursday, December 18, 2025",Not found,"11505 S. Western Ave. Chicago, IL 60647",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/winter-art-workshop-morgan-park-sc
Chicago Parks,Drop and Shop at Rutherford Sayre,"Friday, December 19, 2025",Not found,"6871 W. Belden Ave. Chicago, IL 60707",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/drop-and-shop-rutherford-sayre
Chicago Parks,T.I.P. Holiday Basketball Jam at West Pullman,"Friday, December 19, 2025",Not found,"401 W. 123rd St. Chicago, IL 60628",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tip-holiday-basketball-jam-west-pullman
Chicago Parks,Holiday Party at La Follette,"Friday, December 19, 2025",Not found,"1333 N. Laramie Ave. Chicago, IL 60651",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/holiday-party-la-follette
Chicago Parks,Basketball - Open (Deaf & HOH) at Horner,"Friday, December 19, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/basketball-open-deaf-hoh-horner-0
Chicago Parks,Skate-N-Peace at Hamilton,"Friday, December 19, 2025",Not found,"513 W. 72nd St. Chicago, IL 60621",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/skate-n-peace-hamilton-3
Chicago Parks,Skate-N-Peace at Hamilton,"Friday, December 19, 2025",Not found,"513 W. 72nd St. Chicago, IL 60621",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/skate-n-peace-hamilton-6
Chicago Parks,Breakfast with Santa at Haas,"Saturday, December 20, 2025",Not found,"2402 N. Washtenaw Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/breakfast-santa-haas
Chicago Parks,Winter Walk and Bonfire at Big Marsh,"Saturday, December 20, 2025",Not found,"11559 S. Stony Island Ave. Chicago, IL 60617",All Ages,Nature/Outdoors,Not found,https://www.chicagoparkdistrict.com/events/winter-walk-and-bonfire-big-marsh-0
Chicago Parks,Cocoa with Santa at White (Willye B.),"Saturday, December 20, 2025",Not found,"1610 W. Howard Chicago, IL 60626",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/cocoa-santa-white-willye-b
Chicago Parks,Winter Wonderland at Union,"Saturday, December 20, 2025",Not found,"1501 W. Randolph St. Chicago, IL 60607",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonderland-union
Chicago Parks,Englewood with Santa at Hamilton,"Saturday, December 20, 2025",Not found,"513 W. 72nd St. Chicago, IL 60621",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/englewood-santa-hamilton
Chicago Parks,Hot Cocoa & Toy Giveaway at LeClaire-Hearst,"Saturday, December 20, 2025",Not found,"5120 W. 44th St. Chicago, IL 60638",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/hot-cocoa-toy-giveaway-leclaire-hearst
Chicago Parks,Winter Wonderland at Green Briar,"Saturday, December 20, 2025",Not found,"2650 W. Peterson Ave. Chicago, IL 60659",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonderland-green-briar
Chicago Parks,The Circus On Ice at McKinley,"Saturday, December 20, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/circus-ice-mckinley
Chicago Parks,The Circus On Ice at Warren,"Saturday, December 20, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/circus-ice-warren-0
Chicago Parks,The Circus On Ice at McKinley,"Sunday, December 21, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/circus-ice-mckinley-0
Chicago Parks,The Circus On Ice at Warren,"Sunday, December 21, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/circus-ice-warren
Chicago Parks,Mayor's 2nd Holiday Basketball Tournament at Broadway Armory,2025-12-22T10:00:00Z,"December 22, 2025","5917 N. Broadway Chicago, IL 60660",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/mayors-2nd-holiday-basketball-tournament-broadway-armory
Chicago Parks,Mayor's 2nd Holiday Basketball Tournament at Washington,2025-12-22T10:00:00Z,"December 22, 2025","5531 S. King Dr. Chicago, IL 60615",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/mayors-2nd-holiday-basketball-tournament-washington
Chicago Parks,Holiday Celebration at Armour Square,"Monday, December 22, 2025",Not found,"3309 S. Shields Ave. Chicago, IL 60616",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/holiday-celebration-armour-square
Chicago Parks,Open House at Morgan Park SC,"Monday, December 22, 2025",Not found,"11505 S. Western Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/open-house-morgan-park-sc
Chicago Parks,Deaf & Hard of Hearing Winter Break Extravaganza at Horner,"Tuesday, December 30, 2025",Not found,"2741 W. Montrose Ave. Chicago, IL 60618",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/deaf-hard-hearing-winter-break-extravaganza-horner
Chicago Parks,The Up Next Freshman Invitational at Offsite,"Thursday, January 02, 2025",Not found,Chicago Park District,All Ages,Recreation,"Chicago Hope Academy, 2189 W. Bowler St., Chicago, Il 60612",https://www.chicagoparkdistrict.com/events/next-freshman-invitational-offsite
Chicago Parks,Out of School Program (Special Rec) at Kosciuszko,"Sunday, January 05, 2025",Not found,"2732 N. Avers Ave. Chicago, IL 60647",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/out-school-program-special-rec-kosciuszko-3
Chicago Parks,Chicago's First Responder Yoga at Oriole,"Sunday, January 05, 2025",Not found,"5430 N. Olcott Ave. Chicago, IL 60656",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-oriole-23
Chicago Parks,Basketball Shootout at Douglass,"Sunday, January 05, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/basketball-shootout-douglass
Chicago Parks,Chicago's First Responder Yoga at Ridge,"Sunday, January 05, 2025",Not found,"1817 W. 96th Street Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-ridge-22
Chicago Parks,Owl Prowl at NPV,"Monday, January 06, 2025",Not found,"5801 N. Pulaski Rd. Chicago, IL 60646",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/owl-prowl-npv-1
Chicago Parks,Silver Skates at Midway Plaisance,"Monday, January 06, 2025",Not found,"1130 Midway Plaisance North Chicago, IL 60637",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-midway-plaisance
Chicago Parks,Silver Skates at McKinley,"Tuesday, January 07, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-mckinley
Chicago Parks,Art Workshop at Morgan Park SC,"Wednesday, January 08, 2025",Not found,"11505 S. Western Ave. Chicago, IL 60647",All Ages,Arts/Culture,Not found,https://www.chicagoparkdistrict.com/events/art-workshop-morgan-park-sc
Chicago Parks,Silver Skates at Mt. Greenwood,"Wednesday, January 08, 2025",Not found,"3721 W. 111th St. Chicago, IL 60655",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-mt-greenwood
Chicago Parks,Chicago's First Responder Yoga at Norwood,"Wednesday, January 08, 2025",Not found,"5801 N. Natoma Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-norwood-25
Chicago Parks,Frozen Ocean Skate at Warren,"Thursday, January 09, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/frozen-ocean-skate-warren
Chicago Parks,Winter Walk and Bonfire at Hegewisch Marsh,"Friday, January 10, 2025",Not found,"13200-13298 S. Torrence Ave. Chicago, IL 60633",All Ages,Nature/Outdoors,Not found,https://www.chicagoparkdistrict.com/events/winter-walk-and-bonfire-hegewisch-marsh
Chicago Parks,Creative Space Grand Opening at Douglass,"Friday, January 10, 2025",Not found,"1401 S. Sacramento Dr. Chicago, IL 60623",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/creative-space-grand-opening-douglass
Chicago Parks,Winter Wonder Fest at Warren,"Saturday, January 11, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/winter-wonder-fest-warren
Chicago Parks,Chicago's First Responder Yoga at Oriole,"Sunday, January 12, 2025",Not found,"5430 N. Olcott Ave. Chicago, IL 60656",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-oriole-24
Chicago Parks,Chicago's First Responder Yoga at Ridge,"Sunday, January 12, 2025",Not found,"1817 W. 96th Street Chicago, IL 60643",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-ridge-23
Chicago Parks,Tween Tuesday at Brainerd,"Monday, January 13, 2025",Not found,"1246 W. 92nd St. Chicago, IL 60620",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/tween-tuesday-brainerd-0
Chicago Parks,Silver Skates at Warren,"Tuesday, January 14, 2025",Not found,"6601 N. Western Ave. Chicago, IL 60645",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-warren
Chicago Parks,Silver Skates at Wentworth,"Wednesday, January 15, 2025",Not found,"5625 S. Mobile Ave. Chicago, IL 60638",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/silver-skates-wentworth
Chicago Parks,Chicago's First Responder Yoga at Norwood,"Wednesday, January 15, 2025",Not found,"5801 N. Natoma Ave. Chicago, IL 60631",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/chicagos-first-responder-yoga-norwood-26
Chicago Parks,Frozen Ocean Skate at McKinley,"Thursday, January 16, 2025",Not found,"2210 W. Pershing Rd. Chicago, IL 60609",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/frozen-ocean-skate-mckinley
Chicago Parks,Stewardship Days at Big Marsh,"Friday, January 17, 2025",Not found,"11559 S. Stony Island Ave. Chicago, IL 60617",All Ages,Recreation,Not found,https://www.chicagoparkdistrict.com/events/stewardship-days-big-marsh-1
